A B C D E F G H I J K L M N O P
0 0 0 0 0 0 0 0 0 B 0 0 K 0 N 0
0 0 0 0 P 0 J 0 0 0 0 M 0 0 0 0
O 0 0 0 0 G 0 M 0 0 K F 0 B C 0
B C 0 0 0 0 O N H 0 0 0 P G 0 0
0 G F J 0 0 N 0 0 0 0 E 0 0 L H
0 0 N 0 0 M C 0 L A 0 K 0 P 0 0
0 0 L 0 0 0 P O 0 H N 0 0 0 G 0
D H O C 0 0 0 L 0 0 G 0 M 0 0 0
0 0 P A N 0 0 0 0 0 0 J 0 O 0 E
0 0 0 K O 0 0 0 E 0 0 0 0 N P L
0 0 C 0 0 P L J 0 0 0 0 I 0 F G
0 B I 0 M 0 0 0 0 0 0 L H J 0 0
0 0 E O 0 0 0 P F 0 A I D M 0 K
0 A 0 0 F O 0 I 0 0 J D 0 E 0 P
0 J 0 0 E 0 M K 0 C 0 G O 0 0 0
0 F 0 0 0 0 0 0 0 K 0 N 0 0 0 C
